"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Constituency","Image","Completion Date","Amount Disbursed ( ₹ )"
"44","Normal/Others","WS/MP490/2024-2025/187612-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work in Gramsabha Panditpur from pitch road to Shobha Rajbhars house.Length 80 m.","Shri Narendra Modi","VARANASI","Images","16-Sep-2025","352112"
"45","Normal/Others","WS/MP490/2024-2025/187262-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work in kandwa ward no. 19 from Tulsi Nagar Colony Kunj Panchkoshi Road to Indian School.  Length 76 m.","Shri Narendra Modi","VARANASI","Images","23-Sep-2025","484508"
"46","Normal/Others","WS/MP490/2024-2025/187263-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work in kandwa ward no. 19 work from booth president Gopal Patels house to Ghure Patels residence in Kandwa Dakshini Pura of Rohania Assembly. Length 55 m.","Shri Narendra Modi","VARANASI","Images","16-Sep-2025","310576"
"47","Normal/Others","WS/MP490/2024-2025/187415-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work in ramarepur ward no. 52 from Vivek Pathak house no. 3-73-2-R which is next to street of Shantipuram Colony Rajgharana Marble, to Keshav Mishras house no. 3-74-2-VSA and Rai Sahabs house no. 3-73-2 VSA. Length 115.40 m","Shri Narendra Modi","VARANASI","Images","16-Sep-2025","680978"
"48","Normal/Others","WS/MP490/2024-2025/187545-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Road work in Gram Sbha Mishirpur from Spirajs house to Malayam Patels house. Length 70 m.","Shri Narendra Modi","VARANASI","Images","18-Sep-2025","304912"
"49","Normal/Others","WS/MP490/2024-2025/187542-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work in Gram Sabha Dafalpur from Ronald Rajiv Novuls house to Shivbalak Mishras house,Dafalpur. Length 80 m.","Shri Narendra Modi","VARANASI","Images","23-Sep-2025","456424"
"50","Normal/Others","WS/MP490/2024-2025/187527-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work in Gamhapur from Gangapur Butted Canal to Sanjay Pandeys house. Length 53 m.","Shri Narendra Modi","VARANASI","Images","30-Sep-2025","339368"
"51","Normal/Others","WS/MP490/2024-2025/187254-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work in Kakarmatta ward no. 38 from Ramprasads house to Santan Sipahis house in Pahari Vaishnavi Vihar Colony. Length 76 m","Shri Narendra Modi","VARANASI","Images","23-Sep-2025","231752"
"52","Normal/Others","WS/MP490/2024-2025/187248-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work in kandwa ward no. 19 from RP Mishras house in Kanchanpur to Ansh Narayan Jhas house. Length 28 m.","Shri Narendra Modi","VARANASI","Images","30-Sep-2025","213226"
"53","Normal/Others","WS/MP490/2024-2025/187425-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work in Kadipur ward no. 9 from Munnu Chaurasias house to Mamta Sonkars house near Jaidurg Nagar Colony in Kadipur Shivpur, length 53 m","Shri Narendra Modi","VARANASI","Images","30-Sep-2025","288746"
