"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"200","Normal/Others","WS/MP490/2024-2025/187261-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work in Sirgovardhan ward no. 23  from Dafi Shiv Mandir to Vijay Yadavs house. Length 92 m.","29-Mar-2025","31-Mar-2025","371346","Physical Inspection"
"201","Normal/Others","WS/MP490/2024-2025/187262-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work in kandwa ward no. 19 from Tulsi Nagar Colony Kunj Panchkoshi Road to Indian School.  Length 76 m.","29-Mar-2025","31-Mar-2025","484508","Physical Inspection"
"202","Normal/Others","WS/MP490/2024-2025/187263-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work in kandwa ward no. 19 work from booth president Gopal Patels house to Ghure Patels residence in Kandwa Dakshini Pura of Rohania Assembly. Length 55 m.","29-Mar-2025","31-Mar-2025","310576","Physical Inspection"
"203","Normal/Others","WS/MP490/2024-2025/187265-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work in Shivdaspur ward no. 04 from Guddu Gaurs house to Kamlesh Patels house. Length 130 m","29-Mar-2025","31-Mar-2025","574896","Physical Inspection"
"204","Normal/Others","WS/MP490/2024-2025/187266-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Road construction (pitch) in Nadesar Ward no. 34 from S 17-314 D Nadesar to S 17-314-A-G Nadesar. Length 38 m","29-Mar-2025","31-Mar-2025","203668","Physical Inspection"
"205","Normal/Others","WS/MP490/2024-2025/187267-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Road construction (pitch) in Nadesar Ward no. 34 from S 21 Englishia Line Hanuman Mandir to Phool Mandi. Length 470 m","29-Mar-2025","31-Mar-2025","783638","Physical Inspection"
"206","Normal/Others","WS/MP490/2024-2025/187268-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Road construction in jagatganj Ward no. 61 Lacchipura Colony Nadesar, pitch. Length 63 m","29-Mar-2025","31-Mar-2025","297006","Physical Inspection"
"207","Normal/Others","WS/MP490/2024-2025/187269-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work in Ramarepur ward no. 59 from Naveen Pandey to Dr Udham Singh House No. MN 3-816 in Vivekanand Nagar Colony to  Brijesh Pandey to Khajati Ram house no. 3-118-1. Length 102 m","29-Mar-2025","31-Mar-2025","526988","Physical Inspection"
"208","Normal/Others","WS/MP490/2024-2025/187270-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work in Ramarepur ward no. 59 from Deepak Singhs house in Bhakti Nagar Colony lane no. 7B to Jai Prakash Shahi to Dhananjay Singh house no. 3-160 via Ramdhani Patels house","29-Mar-2025","31-Mar-2025","1539782","Physical Inspection"
"209","Normal/Others","WS/MP490/2024-2025/187415-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work in ramarepur ward no. 52 from Vivek Pathak house no. 3-73-2-R which is next to street of Shantipuram Colony Rajgharana Marble, to Keshav Mishras house no. 3-74-2-VSA and Rai Sahabs house no. 3-73-2 VSA. Length 115.40 m","29-Mar-2025","31-Mar-2025","680978","Physical Inspection"
"210","Normal/Others","WS/MP490/2024-2025/187422-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking in Pahariya ward no. 46 in closed lane in Sarang Talab Pahadia Road from Nam Verma jis house to Ajay Shrivastava and Pintu Jaiswals house in Gayatri School lane. length 284.40 m","29-Mar-2025","31-Mar-2025","870486","Physical Inspection"
"211","Normal/Others","WS/MP490/2024-2025/187425-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work in Kadipur ward no. 9 from Munnu Chaurasias house to Mamta Sonkars house near Jaidurg Nagar Colony in Kadipur Shivpur, length 53 m","29-Mar-2025","31-Mar-2025","288746","Physical Inspection"
"212","Normal/Others","WS/MP490/2024-2025/187428-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Road construction in shivpur ward no. 31   from Sanyam Dubeys house to Ramji Pandeys house to Kundan Nagar, pitch length 78 m","29-Mar-2025","31-Mar-2025","788712","Physical Inspection"
"213","Normal/Others","WS/MP490/2024-2025/187434-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Road construction, in shivpur ward no. 31 pitch road from Kundan Nagar Colony, Shivpur to SK Vermas house. Length 43 m","29-Mar-2025","31-Mar-2025","648646","Physical Inspection"
"214","Normal/Others","WS/MP490/2024-2025/187440-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking and sewer work in Ward No. 37 Daniyalpur Varanasi, in the house of Subhash Sonkar SA 22-168. Length 38.50 m","29-Mar-2025","31-Mar-2025","259246","Physical Inspection"
"215","Normal/Others","WS/MP490/2024-2025/187448-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work in Daniyalpur Ward No. 37 From Kedar Prajapatis house no. 22-168 to Pappu Lahris house no. 22-168. Length 85.70 m","29-Mar-2025","31-Mar-2025","164728","Physical Inspection"
"216","Normal/Others","WS/MP490/2024-2025/187449-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work in Daniyalpur Ward No. 37 From Nagina house no. 22-1 to Manoj Chauhan plot 19-100, length 63.80 m","29-Mar-2025","31-Mar-2025","214524","Physical Inspection"
"Grand Total"," "," "," "," "," "," "," "," "," "," ","10,21,71,252"
