"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"36","Normal/Others","WS/MP490/2025-2026/241156-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Ramji Pehlwan house to Mukesh Pandey house in Baraipur Pal Basti in Kandwa Ward No 19 Length 57 m","10-Oct-2025","15-Oct-2025","221000","Sanction"
"37","Normal/Others","WS/MP490/2025-2026/241157-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Rakesh Seth house to Dhruv Dada house in Kandwa Ward No 19 Shivaji Nagar Colony Length 81 m","10-Oct-2025","15-Oct-2025","699000","Physical Inspection"
"38","Normal/Others","WS/MP490/2025-2026/241158-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Babu Vanvasi house to Devvani Mahila Vidyalaya in Gram Sabha Lakhmipur Block Kashi Vidyapeeth Length 115 m","10-Oct-2025","15-Oct-2025","622000","Physical Inspection"
"39","Normal/Others","WS/MP490/2025-2026/241159-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Gram Sabha Sirsa Block Kashi Vidyapeeth Ayodhyapur link road to ancient temple Length 170 m","10-Oct-2025","15-Oct-2025","922406","Physical Inspection"
"40","Normal/Others","WS/MP490/2025-2026/241160-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Rakesh Tripathi to Maya Gond house in Lohrapur Block Kashi Vidyapeeth village Length 190 m","10-Oct-2025","15-Oct-2025","610532","Physical Inspection"
"41","Normal/Others","WS/MP490/2025-2026/241161-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Chaura Mata Mandir link road to Mangala Vishwakarma house in Sarhari Block Kashi Vidyapeeth village Length 170 m","10-Oct-2025","15-Oct-2025","881000","Physical Inspection"
"42","Normal/Others","WS/MP490/2025-2026/241162-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Mithilesh house to Durga Mata Mandir in Sirsa Block Kashi Vidyapeeth village Length 53 m","10-Oct-2025","15-Oct-2025","260308","Physical Inspection"
"43","Normal/Others","WS/MP490/2025-2026/241163-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Rajendra Mishra house to Kallu ji house in Village Sabha Sihorwa Block Kashi Vidyapeeth Length 150 m","10-Oct-2025","15-Oct-2025","938100","Physical Inspection"
"44","Normal/Others","WS/MP490/2025-2026/241164-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Chaura Mata Temple to Pradhan Gopal jis house in Village Lakhmipur Block Kashi Vidyapeeth Length 100 m","10-Oct-2025","15-Oct-2025","566872","Physical Inspection"
"45","Normal/Others","WS/MP490/2025-2026/241221-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Village Sabha Samaipur Link Road to Piyajus house in Village Sabha Madav Block Kashi Vidyapeeth Length 69 m","10-Oct-2025","15-Oct-2025","489818","Physical Inspection"
"46","Normal/Others","WS/MP490/2025-2026/241222-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Katwaru Saavs house to Dhannak Kannaujiyas house in Village Sabha Madav Block Kashi Vidyapeeth Length 95 m","10-Oct-2025","15-Oct-2025","226000","Sanction"
"47","Normal/Others","WS/MP490/2025-2026/241223-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from village Madav block Kashi Vidyapeeth Kaparforvan road to Ram Manohar Masters house Length 115 m","10-Oct-2025","15-Oct-2025","740000","Physical Inspection"
"48","Normal/Others","WS/MP490/2025-2026/241224-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Gas Godown to Shivprakash Choubeys house in Chittauni Block Kashi Vidyapeeth village Length 205 m","10-Oct-2025","15-Oct-2025","1010000","Physical Inspection"
"49","Normal/Others","WS/MP490/2025-2026/241225-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Dashrath Pal house to Sarvjeet Patel house in village Badaini Khurd block Arazilines Length 52 m","10-Oct-2025","15-Oct-2025","189000","Sanction"
